BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE
200801,23,1000,200801,24,700,13249,73563,MICHIGAN,26,2008,January,Winter Storm
200801,17,220,200801,17,1200,13250,73564,VIRGINIA,51,2008,January,Winter Storm
200801,17,400,200801,17,1300,13250,73565,VIRGINIA,51,2008,January,Winter Storm
200801,17,500,200801,17,1600,13250,73566,VIRGINIA,51,2008,January,Winter Storm
200801,17,300,200801,17,1300,13250,73567,VIRGINIA,51,2008,January,Winter Storm
200801,17,430,200801,17,1730,13250,73568,VIRGINIA,51,2008,January,Winter Storm
200801,17,430,200801,17,1730,13250,73569,VIRGINIA,51,2008,January,Winter Storm
200801,17,500,200801,17,1600,13250,73570,VIRGINIA,51,2008,January,Winter Storm
200801,29,2237,200801,30,1200,13251,73572,MICHIGAN,26,2008,January,Winter Storm
200801,29,2155,200801,30,1200,13251,73575,MICHIGAN,26,2008,January,Winter Storm
200801,29,2100,200801,30,1200,13251,73576,MICHIGAN,26,2008,January,Winter Storm
200801,29,2130,200801,30,1200,13251,73577,MICHIGAN,26,2008,January,Winter Storm
200801,17,600,200801,17,1700,13250,73605,VIRGINIA,51,2008,January,Winter Storm
200801,17,630,200801,17,2200,13250,73606,VIRGINIA,51,2008,January,Winter Storm
200801,17,630,200801,17,1900,13250,73608,VIRGINIA,51,2008,January,Winter Storm
200801,17,600,200801,17,1700,13250,73609,VIRGINIA,51,2008,January,Winter Storm
200801,17,500,200801,17,1500,13250,73610,VIRGINIA,51,2008,January,Winter Storm
200801,29,1900,200801,30,0,13269,73649,ILLINOIS,17,2008,January,Winter Storm
200801,29,1900,200801,29,2300,13269,73650,ILLINOIS,17,2008,January,Winter Storm
200801,29,1930,200801,30,0,13269,73651,ILLINOIS,17,2008,January,Winter Storm
200801,29,1930,200801,30,100,13269,73652,ILLINOIS,17,2008,January,Winter Storm
200801,29,1900,200801,29,2300,13269,73653,ILLINOIS,17,2008,January,Winter Storm
200801,29,1900,200801,29,2300,13269,73654,ILLINOIS,17,2008,January,Winter Storm
200801,29,1830,200801,29,2200,13269,73655,ILLINOIS,17,2008,January,Winter Storm
200801,29,1800,200801,29,2200,13269,73656,ILLINOIS,17,2008,January,Winter Storm
200801,29,1800,200801,29,2200,13269,73657,ILLINOIS,17,2008,January,Winter Storm
200801,29,1900,200801,29,2300,13269,73658,ILLINOIS,17,2008,January,Winter Storm
200801,29,1830,200801,29,2200,13269,73659,ILLINOIS,17,2008,January,Winter Storm
200801,29,1830,200801,29,2200,13269,73660,ILLINOIS,17,2008,January,Winter Storm
200801,29,1930,200801,30,0,13270,73661,INDIANA,18,2008,January,Winter Storm
200801,29,1930,200801,30,100,13270,73662,INDIANA,18,2008,January,Winter Storm
200801,29,1900,200801,29,2200,13270,73663,INDIANA,18,2008,January,Winter Storm
200801,29,1900,200801,29,2200,13270,73664,INDIANA,18,2008,January,Winter Storm
200801,29,1930,200801,29,2300,13270,73665,INDIANA,18,2008,January,Winter Storm
200801,31,1200,200801,31,2359,13271,73668,ILLINOIS,17,2008,January,Winter Storm
200801,31,1200,200801,31,2359,13271,73669,ILLINOIS,17,2008,January,Winter Storm
200801,31,1200,200801,31,2359,13271,73670,ILLINOIS,17,2008,January,Winter Storm
200801,31,900,200801,31,2359,13271,73671,ILLINOIS,17,2008,January,Winter Storm
200801,31,1000,200801,31,2359,13271,73672,ILLINOIS,17,2008,January,Winter Storm
200801,31,500,200801,31,2359,13271,73673,ILLINOIS,17,2008,January,Winter Storm
200801,31,1200,200801,31,2359,13271,73674,ILLINOIS,17,2008,January,Winter Storm
200801,31,1400,200801,31,2359,13271,73676,ILLINOIS,17,2008,January,Winter Storm
200801,31,900,200801,31,2359,13271,73677,ILLINOIS,17,2008,January,Winter Storm
200801,31,1200,200801,31,2359,13271,73678,ILLINOIS,17,2008,January,Winter Storm
200801,31,1600,200801,31,2359,13271,73679,ILLINOIS,17,2008,January,Winter Storm
200801,31,1600,200801,31,2359,13271,73680,ILLINOIS,17,2008,January,Winter Storm
200801,31,1600,200801,31,2359,13271,73681,ILLINOIS,17,2008,January,Winter Storm
200801,31,1600,200801,31,2359,13271,73682,ILLINOIS,17,2008,January,Winter Storm
200801,31,1800,200801,31,2359,13273,73699,INDIANA,18,2008,January,Winter Storm
200801,31,1800,200801,31,2359,13273,73700,INDIANA,18,2008,January,Winter Storm
200801,31,1600,200801,31,2359,13273,73701,INDIANA,18,2008,January,Winter Storm
200801,31,1600,200801,31,2359,13273,73702,INDIANA,18,2008,January,Winter Storm
200801,31,1700,200801,31,2359,13273,73703,INDIANA,18,2008,January,Winter Storm
200801,21,1400,200801,22,500,13276,73713,ILLINOIS,17,2008,January,Winter Storm
200801,21,1400,200801,22,500,13276,73714,ILLINOIS,17,2008,January,Winter Storm
200801,21,1400,200801,22,500,13276,73715,ILLINOIS,17,2008,January,Winter Storm
200801,21,1400,200801,22,500,13276,73716,ILLINOIS,17,2008,January,Winter Storm
200801,17,700,200801,17,2100,13296,73798,MONTANA,30,2008,January,Winter Storm
200801,17,700,200801,17,2100,13296,73799,MONTANA,30,2008,January,Winter Storm
200801,17,700,200801,17,2100,13296,73802,MONTANA,30,2008,January,Winter Storm
200801,17,700,200801,18,1600,13298,73808,WYOMING,56,2008,January,Winter Storm
200801,17,700,200801,18,1600,13298,73809,WYOMING,56,2008,January,Winter Storm
200801,17,800,200801,18,300,13309,73894,MARYLAND,24,2008,January,Winter Storm
200801,17,800,200801,18,300,13311,73915,VIRGINIA,51,2008,January,Winter Storm
200801,17,800,200801,18,300,13311,73917,VIRGINIA,51,2008,January,Winter Storm
200801,17,800,200801,18,300,13311,73918,VIRGINIA,51,2008,January,Winter Storm
200801,17,800,200801,18,300,13311,73919,VIRGINIA,51,2008,January,Winter Storm
200801,17,800,200801,18,300,13311,73920,VIRGINIA,51,2008,January,Winter Storm
200801,17,800,200801,18,300,13311,73922,VIRGINIA,51,2008,January,Winter Storm
200801,17,800,200801,18,300,13311,73923,VIRGINIA,51,2008,January,Winter Storm
200801,17,800,200801,18,300,13311,73925,VIRGINIA,51,2008,January,Winter Storm
200801,10,1100,200801,11,2300,13357,74362,COLORADO,8,2008,January,Winter Storm
200801,10,1000,200801,11,1800,13357,74363,COLORADO,8,2008,January,Winter Storm
